Name,HolidayType,Month,Day
New Years Day,Federal Holiday,1,1
Epiphany,Christian,1,6
Orthodox Christmas Day,Orthodox,1,7
Stephen Foster Memorial Day,Observance,1,13
Orthodox New Year,Orthodox,1,14
Lee Jackson Day,State holiday,1,15
Martin Luther King Day,Federal Holiday,1,18
Idaho Human Rights Day,State holiday,1,18
Civil Rights Day,State holiday,1,18
Robert E Lee Birthday,State holiday,1,19
Tu Bishvat/Tu B'Shevat,Jewish holiday,1,25
Kansas Day,Observance,1,29
National Freedom Day,Observance,2,1
Groundhog Day,Observance,2,2
Rosa Parks Day,Local observance,2,4
National Wear Red Day,Observance,2,5
Chinese New Year,Observance,2,8
Shrove Tuesday/Mardi Gras,Observance,2,9
Ash Wednesday,Christian,2,10
Lincoln Birthday,State holiday,2,12
Valentine Day,Observance,2,14
Presidents Day,Federal Holiday,2,15
Daisy Gatson Bates Day,State holiday,2,15
Susan B Anthony Birthday,Local observance,2,15
Linus Pauling Day,Local observance,2,28
St. Davids Day,Observance,3,1
Town Meeting Day Vermont,State holiday,3,1
Texas Independence Day,State holiday,3,2
Read Across America Day,Observance,3,2
Employee Appreciation Day,Observance,3,4
Casimir Pulaski Day,State holiday,3,7
Daylight Saving Time starts,Clock change/Daylight Saving Time,3,13
St. Patricks Day,Observance,3,17
Evacuation Day,State holiday,3,17
Palm Sunday,Christian,3,20
March equinox,Season,3,20
Maundy Thursday,Christian,3,24
Purim,Jewish holiday,3,24
Good Friday,State holiday,3,25
Maryland Day,Local observance,3,25
Holy Saturday,Christian,3,26
Prince Jonah Kuhio Kalanianaole Day,State holiday,3,26
Easter Sunday,"Observance, Christian",3,27
Easter Monday,Christian,3,28
Sewards Day,State holiday,3,28
C‚sar Ch vez Day,State holiday,3,31
Pascua Florida Day,Local observance,4,2
National Tartan Day,Observance,4,6
National Library Workers Day,Observance,4,12
Thomas Jeffersons Birthday,Observance,4,13
Father Damien Day,Local observance,4,15
Emancipation Day,State holiday,4,16
Tax Day,Observance,4,18
Patriots Day,State holiday,4,18
San Jacinto Day,State holiday,4,21
Oklahoma Day,Local observance,4,22
Passover (first day),Jewish holiday,4,23
Confederate Memorial Day,State holiday,4,25
Administrative Professionals Day,Observance,4,27
Take our Daughters and Sons to Work Day,Observance,4,28
Orthodox Good Friday,Orthodox,4,29
Arbor Day,State holiday,4,29
Last Day of Passover,Jewish holiday,4,30
Orthodox Holy Saturday,Orthodox,4,30
Orthodox Easter,Orthodox,5,1
Law Day,Observance,5,1
Loyalty Day,Observance,5,1
Orthodox Easter Monday,Orthodox,5,2
Primary Election Day Indiana,State holiday,5,3
Yom HaShoah,Jewish holiday,5,4
Kent State Shootings Remembrance,Local observance,5,4
Rhode Island Independence Day,Local observance,5,4
